image_path,clean_class
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_124389.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_124620.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_124938.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_126411.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_126424.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_126839.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_127306.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_127671.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_127868.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_128084.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_128423.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_129537.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_129641.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_129960.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_130694.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_130831.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_131174.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_136062.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_136209.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_139275.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_139552.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_139733.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_141630.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_141631.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_142746.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_143059.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_14309.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_144863.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_145728.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_147282.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_147402.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_147981.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_151210.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_152650.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_152708.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_152930.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_153085.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_154572.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_155216.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_155436.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_15551.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_157951.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_1581.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_158249.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_158647.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_161101.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_161905.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_162483.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_162861.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_163898.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_164170.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_165215.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_166254.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_166406.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_166905.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_168028.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_168566.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_172469.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_173262.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_173620.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_174705.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_174731.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_175269.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_175579.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_176200.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_17648.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_177230.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_177799.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_178345.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_178358.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_178853.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_179459.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_180745.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_180990.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_183362.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_184105.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_184682.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_186830.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_18821.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_188974.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_189696.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_190505.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_191120.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_19177.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_193488.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_193863.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_196745.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_196807.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_197357.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_19779.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_198105.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_198153.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_198565.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_199179.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_200697.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_200989.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_201200.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_20161.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_201984.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_20201.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_202924.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_2035.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_204774.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_204791.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_206112.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_206130.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_208484.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_208485.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_209608.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_210917.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_212452.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_212732.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_212748.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_21413.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_214521.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_214538.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_214867.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_214889.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_215988.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_218293.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_218471.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_219183.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_220744.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_221009.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_221057.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_221648.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_22197.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_223010.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_223705.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_223799.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_225229.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_225540.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_227863.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_229541.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_229550.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_229935.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_230866.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_232284.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_236096.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_236251.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_236510.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_237069.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_237864.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_238012.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_238331.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_23839.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_240301.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_240977.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_241069.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_241108.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_241392.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_24200302.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_242626.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_243213.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_243554.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_243889.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_245418.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_24720.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_248930.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_24963.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_249665.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_250000.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_250396.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_250620.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_251042.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_25245.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_254321.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_254820.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_255467.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_255533.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_255913.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_25610.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_258997.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_260100.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_260213.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_262646.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_263028.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_26315.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_264833.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_26527.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_265929.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_266178.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_266370.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_266945.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_267693.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_268064.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_27002.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_270382.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_270647.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_271501.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_271614.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_273021.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_273793.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_274684.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_274864.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_275073.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_275300.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_276179.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_276896.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_277242.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_277489.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_27810.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_278185.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_278732.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_279326.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_279501.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_279676.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_279986.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_280715.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_281662.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_281849.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_283950.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_284260.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_284282.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_285156.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_2862.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_28660.jpg,basophil
D:\AI_08_V1\Data\images\pbc_barcelona\PBC_dataset_normal_DIB\basophil\BA_287643.jpg,basophil
