image_path,source_folder,original_class,clean_class
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_024.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_025.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_026.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_027.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_028.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_029.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_030.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_031.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_032.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_033.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Band neutrophil\Band neutrophil_034.jpeg,add,Band neutrophil,Band neutrophil
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_000.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_001.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_002.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_003.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_004.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_005.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_006.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_007.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_008.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_009.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_010.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_011.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_012.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_013.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_014.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_015.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_016.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_017.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_018.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_019.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_020.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_021.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_022.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_023.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_024.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_025.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_026.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_027.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_028.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_029.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_030.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_031.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_032.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_033.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_034.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_035.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_036.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_037.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_038.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_039.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_040.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_041.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_042.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_043.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_044.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_045.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_046.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_047.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_048.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_049.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_050.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_051.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_052.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_053.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_054.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_055.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_056.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_057.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_058.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_059.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_060.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_061.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_062.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_063.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_064.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_065.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_066.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_067.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_068.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_069.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_070.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_071.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_072.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_073.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_074.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_075.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_076.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_077.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_078.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_079.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_080.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_081.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_082.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_083.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_084.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_085.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_086.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_087.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_088.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_089.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_090.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_091.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_092.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_093.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_094.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_095.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_096.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_097.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_098.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_099.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_100.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_101.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_102.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_103.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_104.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_105.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_106.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_107.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_108.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic erythroblast\Dysplastic erythroblast_109.jpeg,add,Dysplastic erythroblast,Dysplastic erythroblast
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_000.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_001.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_002.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_003.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_004.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_005.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_006.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_007.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_008.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_009.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_010.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_011.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_012.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_013.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_014.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_015.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_016.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
D:\AI_08_V1\Data\images\mds_bone_marrow\extracted\add\Dysplastic granulocyte\Dysplastic granulocyte_017.jpeg,add,Dysplastic granulocyte,Dysplastic granulocyte
