path,classification,diameter
main\Band eosinophil\Band eosinophil_0042.jpeg,Band eosinophil,17.3
main\Band eosinophil\Band eosinophil_0043.jpeg,Band eosinophil,11
main\Band eosinophil\Band eosinophil_0044.jpeg,Band eosinophil,11
main\Band eosinophil\Band eosinophil_0045.jpeg,Band eosinophil,12
main\Band eosinophil\Band eosinophil_0046.jpeg,Band eosinophil,12.4
main\Band eosinophil\Band eosinophil_0047.jpeg,Band eosinophil,13
main\Band eosinophil\Band eosinophil_0048.jpeg,Band eosinophil,13
main\Band eosinophil\Band eosinophil_0049.jpeg,Band eosinophil,13.4
main\Band eosinophil\Band eosinophil_0050.jpeg,Band eosinophil,13.4
main\Band eosinophil\Band eosinophil_0051.jpeg,Band eosinophil,13.9
main\Band eosinophil\Band eosinophil_0052.jpeg,Band eosinophil,13.9
main\Band eosinophil\Band eosinophil_0053.jpeg,Band eosinophil,14.4
main\Band eosinophil\Band eosinophil_0054.jpeg,Band eosinophil,20.6
main\Band eosinophil\Band eosinophil_0055.jpeg,Band eosinophil,15.3
main\Band eosinophil\Band eosinophil_0056.jpeg,Band eosinophil,13.4
main\Band eosinophil\Band eosinophil_0057.jpeg,Band eosinophil,8.1
main\Band eosinophil\Band eosinophil_0058.jpeg,Band eosinophil,9.5
main\Band neutrophil\Band neutrophil_0000.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0001.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0002.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0003.jpeg,Band neutrophil,19.2
main\Band neutrophil\Band neutrophil_0004.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0005.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0006.jpeg,Band neutrophil,15.3
main\Band neutrophil\Band neutrophil_0007.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0008.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0009.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0010.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0011.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0012.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0013.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0014.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0015.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0016.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0017.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0018.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0019.jpeg,Band neutrophil,13.9
main\Band neutrophil\Band neutrophil_0020.jpeg,Band neutrophil,15.3
main\Band neutrophil\Band neutrophil_0021.jpeg,Band neutrophil,15.8
main\Band neutrophil\Band neutrophil_0022.jpeg,Band neutrophil,15.8
main\Band neutrophil\Band neutrophil_0023.jpeg,Band neutrophil,16.3
main\Band neutrophil\Band neutrophil_0024.jpeg,Band neutrophil,16.3
main\Band neutrophil\Band neutrophil_0025.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0026.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0027.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0028.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0029.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0030.jpeg,Band neutrophil,14.8
main\Band neutrophil\Band neutrophil_0031.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0032.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0033.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0034.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0035.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0036.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0037.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0038.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0039.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0040.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0041.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0042.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0043.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0044.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0045.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0046.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0047.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0048.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0049.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0050.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0051.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0052.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0053.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0054.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0055.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0056.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0057.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0058.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0059.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0060.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0061.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0062.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0063.jpeg,Band neutrophil,6.8
main\Band neutrophil\Band neutrophil_0064.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0065.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0066.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0067.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0068.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0069.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0070.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0071.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0072.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0073.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0074.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0075.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0076.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0077.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0078.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0079.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0080.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0081.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0082.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0083.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0084.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0085.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0086.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0087.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0088.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0089.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0090.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0091.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0092.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0093.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0094.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0095.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0096.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0097.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0098.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0099.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0100.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0101.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0102.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0103.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0104.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0105.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0106.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0107.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0108.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0109.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0110.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0111.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0112.jpeg,Band neutrophil,13.9
main\Band neutrophil\Band neutrophil_0113.jpeg,Band neutrophil,15.8
main\Band neutrophil\Band neutrophil_0114.jpeg,Band neutrophil,15.8
main\Band neutrophil\Band neutrophil_0115.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0116.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0117.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0118.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0119.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0120.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0121.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0122.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0123.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0124.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0125.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0126.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0127.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0128.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0129.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0130.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0131.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0132.jpeg,Band neutrophil,14.8
main\Band neutrophil\Band neutrophil_0133.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0134.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0135.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0136.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0137.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0138.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0139.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0140.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0141.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0142.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0143.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0144.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0145.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0146.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0147.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0148.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0149.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0150.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0151.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0152.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0153.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0154.jpeg,Band neutrophil,13.9
main\Band neutrophil\Band neutrophil_0155.jpeg,Band neutrophil,14.4
main\Band neutrophil\Band neutrophil_0156.jpeg,Band neutrophil,14.4
main\Band neutrophil\Band neutrophil_0157.jpeg,Band neutrophil,14.4
main\Band neutrophil\Band neutrophil_0158.jpeg,Band neutrophil,14.4
main\Band neutrophil\Band neutrophil_0159.jpeg,Band neutrophil,16.3
main\Band neutrophil\Band neutrophil_0160.jpeg,Band neutrophil,16.8
main\Band neutrophil\Band neutrophil_0161.jpeg,Band neutrophil,16.8
main\Band neutrophil\Band neutrophil_0162.jpeg,Band neutrophil,17.3
main\Band neutrophil\Band neutrophil_0163.jpeg,Band neutrophil,17.7
main\Band neutrophil\Band neutrophil_0164.jpeg,Band neutrophil,17.7
main\Band neutrophil\Band neutrophil_0165.jpeg,Band neutrophil,18.8
main\Band neutrophil\Band neutrophil_0166.jpeg,Band neutrophil,19.2
main\Band neutrophil\Band neutrophil_0167.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0168.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0169.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0170.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0171.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0172.jpeg,Band neutrophil,14.8
main\Band neutrophil\Band neutrophil_0173.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0174.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0175.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0176.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0177.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0178.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0179.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0180.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0181.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0182.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0183.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0184.jpeg,Band neutrophil,13.9
main\Band neutrophil\Band neutrophil_0185.jpeg,Band neutrophil,14.4
main\Band neutrophil\Band neutrophil_0186.jpeg,Band neutrophil,18.8
main\Band neutrophil\Band neutrophil_0187.jpeg,Band neutrophil,19.2
main\Band neutrophil\Band neutrophil_0188.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0189.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0190.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0191.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0192.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0193.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0194.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0195.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0196.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0197.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0198.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0199.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0200.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0201.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0202.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0203.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0204.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0205.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0206.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0207.jpeg,Band neutrophil,14.8
main\Band neutrophil\Band neutrophil_0208.jpeg,Band neutrophil,15.3
main\Band neutrophil\Band neutrophil_0209.jpeg,Band neutrophil,16.3
main\Band neutrophil\Band neutrophil_0210.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0211.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0212.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0213.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0214.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0215.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0216.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0217.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0218.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0219.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0220.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0221.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0222.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0223.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0224.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0225.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0226.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0227.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0228.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0229.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0230.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0231.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0232.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0233.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0234.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0235.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0236.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0237.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0238.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0239.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0240.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0241.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0242.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0243.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0244.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0245.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0246.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0247.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0248.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0249.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0250.jpeg,Band neutrophil,9.5
main\Band neutrophil\Band neutrophil_0251.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0252.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0253.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0254.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0255.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0256.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0257.jpeg,Band neutrophil,10
main\Band neutrophil\Band neutrophil_0258.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0259.jpeg,Band neutrophil,10.6
main\Band neutrophil\Band neutrophil_0260.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0261.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0262.jpeg,Band neutrophil,11
main\Band neutrophil\Band neutrophil_0263.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0264.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0265.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0266.jpeg,Band neutrophil,11.5
main\Band neutrophil\Band neutrophil_0267.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0268.jpeg,Band neutrophil,12
main\Band neutrophil\Band neutrophil_0269.jpeg,Band neutrophil,12.4
main\Band neutrophil\Band neutrophil_0270.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0271.jpeg,Band neutrophil,13
main\Band neutrophil\Band neutrophil_0272.jpeg,Band neutrophil,13.4
main\Band neutrophil\Band neutrophil_0273.jpeg,Band neutrophil,13.9
main\Band neutrophil\Band neutrophil_0274.jpeg,Band neutrophil,14.8
main\Band neutrophil\Band neutrophil_0275.jpeg,Band neutrophil,15.3
main\Band neutrophil\Band neutrophil_0276.jpeg,Band neutrophil,6.2
main\Band neutrophil\Band neutrophil_0277.jpeg,Band neutrophil,6.8
main\Band neutrophil\Band neutrophil_0278.jpeg,Band neutrophil,6.8
main\Band neutrophil\Band neutrophil_0279.jpeg,Band neutrophil,6.8
main\Band neutrophil\Band neutrophil_0280.jpeg,Band neutrophil,6.8
main\Band neutrophil\Band neutrophil_0281.jpeg,Band neutrophil,6.8
main\Band neutrophil\Band neutrophil_0282.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0283.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0284.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0285.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0286.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0287.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0288.jpeg,Band neutrophil,7.2
main\Band neutrophil\Band neutrophil_0289.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0290.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0291.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0292.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0293.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0294.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0295.jpeg,Band neutrophil,7.6
main\Band neutrophil\Band neutrophil_0296.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0297.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0298.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0299.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0300.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0301.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0302.jpeg,Band neutrophil,8.1
main\Band neutrophil\Band neutrophil_0303.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0304.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0305.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0306.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0307.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0308.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0309.jpeg,Band neutrophil,8.6
main\Band neutrophil\Band neutrophil_0310.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0311.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0312.jpeg,Band neutrophil,9.1
main\Band neutrophil\Band neutrophil_0313.jpeg,Band neutrophil,9.1
